SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
Soccer, 15/09 17:00, ICE2, Live, 81′ Selfoss – IA Akranes (1-2), over 3.5, 2.05, 15, bet365, 1-3, +15.75,
Soccer, 15/09 17:00, SCOCH, Pre-Match, Queen of South – Ross County, over 2.5, 1.93, 10, bet365, 0-0, -10,
Soccer, 15/09 17:00, EPL, Pre-Match, Man City – Fulham, GG, 1.98, 5, pinnacle, 3-0, -5,
Soccer, 15/09 17:00, ENL2, Pre-Match, Swindon – Bury, over 2.5, 1.82, 10, pinnacle, 1-2, +8.2,
Soccer, 15/09 17:00, SCOCH, Pre-Match, Ayr – Falkirk 0:0.5, 2 asian, 1.76, 5, pinnacle, 3-2, -5,
Soccer, 15/09 17:00, ENCO, Pre-Match, Gateshead – Braintree 0:1, 2 asian, 1.87, 10, pinnacle, 0-1, +8.7,
Soccer, 15/09 17:00, ENL1, Pre-Match, Wimbledon – Scunthorpe 0:0.75, 2 asian, 1.81, 10, pinnacle, 2-3, +8.1,
Soccer, 15/09 18:00, CZE1, Live, 79′ Pribram – Sigma Olomouc (1-0), over 1.5, 2.25, 10, bet365, 1-0, -10,
Soccer, 15/09 19:30, GER1, Live, 74′ Gladbach – Schalke (1-0), over 1.5, 1.83, 10, bet365, 2-1, +8.3,
Soccer, 15/09 19:30, ESP1, Pre-Match, Valencia – Betis, over 2.5, 1.78, 10, sbobet, 0-0, -10,
Soccer, 16/09 03:00, MEX1, Pre-Match, Club America – Monarcas, over 2.5, 1.80, 10, sbobet, 2-1, +8.3,
Soccer, 16/09 03:30, USA1, Pre-Match, Houston Dynamo – Portland 0:0.5, 2 asian, 1.88, 10, bet365, 4-1, -10,
Soccer, 16/09 15:00, THAI2, Live, 72′ Lampang – Krabi (2-2), over 4.75, 1.70, 10, bet365, 2-3, +3.5,
Soccer, 16/09 15:00, THAI1, Live, 78′ Navy – Prachuap (1-1), over 2.5, 1.70, 10, bet365, 1-1, -10,
Soccer, 16/09 15:00, GER3, Pre-Match, Unterhaching – Wurzburger, over 2.5, 1.91, 5, sbobet, 0-1, -5,
Soccer, 16/09 16:00, MALCUP, Live, 81′ Kelantan – Kedah (1-0), over 1.5, 1.72, 15, bet365, 2-0, +10.8,
Soccer, 16/09 18:00, FRA1, Live, 72′ Bordeaux – Nimes (3-2), over 5.5, 1.95, 10, pinnacle, 3-3, +9.5,
Soccer, 16/09 18:30 16-09 18:30, FIN3, Live, 78′ MiPK – PEPO (1-1) (10) 88' MiPK - PEPO (1-1) (5), over 2.5 over 3.5, 1.72 3.00, 15, sbobet, 2-1, +2.2,
Soccer, 16/09 19:00, NOR3, Live, 87′ Honefoss – Baerum (2-2), over 4.5, 5.50, 5, bet365, 2-2, -5,
Soccer, 16/09 19:00, ITA1, Live, 25′ Empoli – Lazio (0-0), over 2, 1.75, 10, bet365, 0-1, -10,
Soccer, 17/09 00:00, MEX1, Pre-Match, Santos Laguna – Leon, over 2.5, 1.73, 15, pinnacle, 3-0, +10.95,
Soccer, 17/09 15:15, MALCUP, Live, 77′ Terengganu II – Negeri (1-1), over 2.5, 1.98, 10, bet365, 1-1, -10,
Soccer, 17/09 17:45, NOR4, Live, 82′ Follo – Hodd 2 (0-0), over 0.5, 1.80, 5, bet365, 0-0, -5,
Soccer, 17/09 18:30, FIN1, Live, 78′ Honka – Kemi (2-1), over 3.5, 2.13, 5, sbobet, 2-1, -5,
Soccer, 17/09 20:00, GER3, Live, 73′ Kaiserslautern – Fortuna Koln (2-2), over 4.5, 2.04, 5, sbobet, 3-3, +5.2,
Soccer, 19/09 14:00, ZMB1, Live, 71′ Green Buffaloes – Kabwe Warriors (0-1), over 1.5, 2.00, 5, bet365, 0-1, -5,
Soccer, 20/09 08:15, FIN4, Live, 77΄ JoKi-Kuusysi (2-1), over 3.5, 1.70, 10, bet365, 2-1, -10,
Soccer, 20/09 19:55 20-09 19:55, EL EL, Pre-Match, Lazio – Apollon L. 0:1.75 (5) Lazio - Apollon L (5), 2 asian GG, 1.91 1.96, 10, bet365, 2-1 2-1, +9.3,
Soccer, 20/09 22:00 20-09 22:00, EL EL, Pre-Match, Oly – Betis Anytime scorer (5) Oly- Betis First to score (2), Fetfatzidis Fetfatzidis, 8.50 21.00, 7, bet365, No, -7,
Soccer, 21/09 19:30, GER2, Live, 82′ Ingolstadt – St Pauli (0-1), over 1.5, 3.00, 5, sbobet, 0-1, -5,
Soccer, 21/09 21:00, FRA3, Live, 69′ Lyon Duchere – Cholet (1-0), over 1.5, 1.88, 5, pinnacle, 1-0, -5,
Soccer, 21/09 21:00, FRA3, Live, 70′ Rodez – Le Mans (1-0), over 1.5, 1.78, 5, bet365, 1-0, -5,
Soccer, 21/09 21:30, BEL1, Pre-Match, Zulte Waregem – Kortrijk 0:1, 2 asian, 1.70, 10, bet365, 0-2, +7,
Soccer, 21/09 21:45, FRA1, Live, 72′ Monaco – Nimes (1-1), over 2.5, 1.90, 10, bet365, 1-1, -10,
Soccer, 22/09 10:00, KOR1, Pre-Match, Sangju – Daegu 0:0, 2 asian, 1.81, 5, sbobet, 2-5, +4.05,
Soccer, 22/09 13:45, THAI1, Live, 72’ Pattaya Utd – Ratchaburi (1-0), over 1.5, 1.72, 15, bet365, 2-2, +10.8,
Soccer, 22/09 14:00, FINW1, Live, 79’ Honka (W) – TPS (W) (2-2), over 4.5, 1.72, 5, bet365, 3-2, +3.6,
Soccer, 22/09 14:30, EPL, Pre-Match, Fulham – Watford 0:0, 1 asian, 2.08, 10, pinnacle, 1-1, 0,
Soccer, 22/09 14:35, ENCO, Pre-Match, Eastleigh – Dag & Red 0:0.5, 2 asian, 1.87, 5, pinnacle, 1-0, -5,
Soccer, 22/09 15:00, FIN3, Live, 82’ VIFK – TP47 (2-2), over 4.5, 1.90, 10, pinnacle, 2-2, -10,
Soccer, 22/09 15:00, GER3, Live, 1860 Munich – Wehen, over 2.5, 1.73, 10, bet365, 1-2, +7.3,
Soccer, 22/09 16:00, FIN1, Live, 69’ Kemi – Vaasa (0-1), over 1.5, 1.70, 15, sbobet, 0-2, +10.5,
Soccer, 22/09 16:30, GER1, Live, 78’ Hoffenheim – Dortmund (1-0), over 1.5, 1.81, 10, bet365, 1-1, +8.1,
Soccer, 22/09 17:00, ENL1, Pre-Match, Southend – Fleetwood 0:0.5, 2 asian, 1.84, 10, pinnacle, 1-0, -10,
Soccer, 22/09 17:00, SCOL1, Live, 76’ Airdieonians – Dumbarton (1-1), over 2.5, 1.93, 10, pinnacle, 1-1, -10,
Soccer, 22/09 17:00, ENCH, Live, 71’ West Brom – Millwall (1-0), over 1.5, 1.85, 10, sbobet, 2-0, +8.5,
Soccer, 22/09 17:00, ENCO, Pre-Match, Sutton – Wrexham, X2, 1.75, 5, bet365, 3-0, -5,
Soccer, 22/09 17:00, ENL1, Pre-Match, Oxford – Walsall, over 2.5, 1.91, 5, sbobet, 1-2, +4.55,
Soccer, 22/09 18:30, POR1, Live, 52’ Santa Clara – Rio Ave (0-0), over 1, 1.80, 10, bet365, 1-3, +8,
