SPORT, DATE, COMP, BET-TYPE, MATCH-UP, BET, ODDS, STAKE, BOOK, RESULT, +/-
Soccer, 12/11 22:00, URU1, Live, 7′ Boston River – Fenix 0:0.25, 1 asian, 1.80, 20, bet365, 0-0, -10,
Soccer, 12/11 23:15, BOL1, Pre-Match, Nacional Potosi – Jorge Wilstermann 0:0.5, 2 asian, 1.78, 25, bet365, 2-0, -25,
Soccer, 15/11 21:30, URU2, Pre-Match, Huracan – Deportivo Maldonado 0:0, 1 asian, 1.83, 20, bet365, 0-1, -20,
Soccer, 16/11 00:00, CHI2, Live, 70′ Naval – Provincial Osorno (0-0), over 0.5, 1.70, 15, bet365, 1-0, +10.5,
Soccer, 17/11 00:30, URU1, Live, 17′ Defensor Sporting – Liverpool 0:0.75 (1-1), 1 asian, 1.93, 20, bet365, 2-2, -20,
Soccer, 18/11 17:45, MEXU20, Live, 19′ Leon U20 – Chivas U20 (0-0), 2 DNB, 1.72, 20, bet365, 0-1, +14.4,
Soccer, 18/11 22:00, URU1, Live, 11′ Cerro – River Plate (0-0), over 2.25, 1.75, 20, bet365, 2-2, +15,
Soccer, 18/11 22:30, COL1, Pre-Match, America Cali – Bucaramanga, under 1 HT, 1.70, 20, bet365, 1-0, 0,
Soccer, 18/11 22:30, COL1, Live, 67′ Atletico Nacional – Ind. Medellin (0-0), over 0.5, 1.70, 15, bet365, 0-0, -15,
Soccer, 18/11 22:30, COL1, Live, 84′ America Cali – Bucaramanga (1-0), over 1.5, 3.40, 15, bet365, 1-0, -15,
Soccer, 18/11 23:00, ECU2, Live, 67′ Imbabura – Santa Rita (0-0), over 0.5, 1.78, 20, bet365, 1-0, +15.5,
Soccer, 19/11 05:00, MEX1, Pre-Match, Necaxa – Monarcas, under 2.5, 1.80, 20, bet365, 1-2, -20,
Soccer, 19/11 19:00, COST1, Live, 17′ Grecia – Carmelita 0:0.75 (0-0), 1 asian, 1.98, 20, bet365, 1-1, -20,
Soccer, 19/11 19:00, COST1, Live, 78′ Grecia – Carmelita (0-0), over 0.5, 1.73, 20, bet365, 1-1, +14.5,
Soccer, 19/11 19:00, COST1, Live, 88′ Grecia – Carmelita (1-1), over 2.5, 3.75, 10, bet365, 1-1, -10,
Soccer, 19/11 21:00, VEN1, Live, 45′ Chico de Guayana – Margarita (0-1), 1X, 2.12, 10, stoiximan, 0-2, -10,
Soccer, 20/11 19:30, GRE1, Live, 35′ PAOK – Atromitos 0:0.75 (0-1), 1 asian, 1.86, 25, bet365, 2-1, +21.5,
Soccer, 22/11 21:30, URU2, Live, 65′ Huracan – Villa Espanola (0-0), over 0.5, 1.70, 15, bet365, 0-1, +10.5,
Soccer, 22/11 21:30, URU2, Live, 68′ Huracan – Villa Espanola (0-1), over 1.5, 1.70, 15, bet365, 0-1, -15,
Soccer, 22/11 22:00, URU1, Live, 55′ River Plate – Penarol (1-0), 2 asian, 1.85, 20, bet365, 2-1, -20,
Soccer, 22/11 22:00, URU1, Live, 68′ Juventud – Liverpool (1-1), over 2.75, 1.83, 15, bet365, 2-1, +6.18,
Soccer, 22/11 22:00, URU1, Live, 75′ Juventud – Liverpool (1-1), over 2.5, 1.70, 25, bet365, 2-1, +17.5,
Soccer, 23/11 22:00, URU1, Live, 4′ Rampla Juniors – Nacional 0.75:0 (0-0), 2 asian, 1.83, 20, bet365, 0-2, +16.5,
Soccer, 24/11 00:00, URU1, Live, 71′ Plaza Colonia – Racing Club (1-1), over 2.5, 1.70, 20, bet365, 1-2, +14,
Soccer, 24/11 03:30, MEX1, Pre-Match, Cruz Azul – Club America 0:0.25, 2 asian, 1.82, 30, pinnacle, 0-0, +12.3,
Soccer, 25/11 19:00, ESP2, Live, 72′ Tarragona – Lorca (0-1), over 1.5, 1.88, 15, bet365, 0-2, +13.12,
Soccer, 25/11 19:15, ECURES, Pre-Match, LDU Quito B’ – Emelec B’, 1 DNB, 1.72, 20, bet365, 4-1, +14.4,
Soccer, 25/11 19:30, PER1, Live, 75′ Real Garcilaso – Sport Huancayo (0-0), over 0.5, 1.73, 25, bet365, 0-1, +18.12,
Soccer, 25/11 22:00, URU1, Live, 15′ Cerro – Penarol (0-0), over 2.75, 1.93, 25, bet365, 0-4, +23.12,
Soccer, 25/11 22:00, URU1, Live, 70′ Boston River – Juventud (1-1), over 2.5, 1.70, 50, bet365, 3-1, +35,
Soccer, 25/11 23:00, PAR1, Live, 77′ Independiente – Olimpia (1-1), over 2.5, 2.03, 10, bet365, 1-3, +10.25,
Soccer, 25/11 23:00, ECU2, Live, 83′ Gualaceo – Imbabura (1-1), over 2.5, 1.70, 10, bet365, 1-1, -10,
Soccer, 26/11 00:30, CHI1, Pre-Match, O’Higgins – Un. Catolica, 1X, 1.72, 30, bet365, 3-1, +21.6,
Soccer, 26/11 17:00, CHI1, Live, 79′ Everton – Colo Colo (2-2), over 4.5, 2.10, 25, bet365, 2-3, +27.5,
Soccer, 26/11 18:30, ECU1, Pre-Match, LDU Quito – Emelec, under 2.5, 1.70, 20, bet365, 2-4, -20,
Soccer, 26/11 22:00, URU1, Live, 7′ Racing Club – River Plate (0-0), over 2.5, 2.00, 20, bet365, 0-0, -20,
Soccer, 26/11 22:00, URU1, Live, 11′ Liverpool – Danubio (0-0), over 2.5, 1.83, 20, bet365, 5-0, +16.5,
Soccer, 26/11 22:00, URU1, Live, 75′ Montevideo Wanderers – Sud America (1-0), over 1.5, 1.70, 20, bet365, 1-0, -20,
Soccer, 27/11 00:30, EPL, Live, 72′ El Tanque Sisley – Plaza Colinia (0-1), over 1.5, 1.70, 35, bet365, 1-1, +24.5,
Soccer, 30/11 20:15, PER1, Live, 76′ Juan Aurich – Sporting Cristal (2-1), over 3.5, 1.72, 25, bet365, 2-1, -25,
Soccer, 01/12 22:00, ARG1, Pre-Match, Union Santa Fe – Belgrano, X2, 1.80, 20, bet365, 1-1, +16,
Soccer, 02/12 17:00, CHI1, Live, 9′ Iquique – San Luis Quillota 0:0.25 (0-0), 2 asian, 1.81, 25, pinnacle, 2-1, -25,
Soccer, 02/12 17:00, ESP3, Live, 18′ Arenas de Guecho – Gernika 0:0.5 (0-0), 2 asian, 1.70, 15, bet365, 0-0, +10.5,
Soccer, 02/12 19:00, ESP2, Live, 30′ Rayo Vallecano – Granada 0:0.5 (0-0), 2 asian, 1.75, 15, bet365, 1-0, -15,
Soccer, 03/12 22:00, URU1, Pre-Match, Juventud – Montevideo Wanderers 0.5:0, 2 asian, 1.78, 25, bet365, 2-5, +19.37,
Soccer, 03/12 22:30, PERCUP, Pre-Match, Atletico Grau – Estudiantil CNI, 1 DNB, 1.83, 20, bet365, 2-0, +16.6,
Soccer, 04/12 00:00, COST1, Pre-Match, Perez Zeledon – Santos Guapiles, X2, 1.80, 20, bet365, 1-0, -20,
Soccer, 05/12 21:00, PERCUP, Live, 72′ Jose Carlos Mariategui – Estudiantil (1-1), over 2.5, 1.72, 20, bet365, 1-2, +14.40,
Soccer, 08/12 01:00, BOL1, Pre-Match, Real Potosi – San Jose 0.25:0, 1 asian, 1.85, 20, bet365, 1-2, -20,
